date,domestic_ordinary_shares,foreign_ordinary_shares,fgn_bonds,treasury_bills,agency_bonds_(nmrc_&_fmbn),sukuk_bonds,green_bonds,state_govt._securities,corporate_bonds,corporate_infrastructure_bonds,corporate_green_bonds,supranational_bonds,banks,commercial_papers,foreign_money_market_securities,reits,real_estate_properties,private_equity_fund,infrastructure_fund,cash_&_other_assets,other_liabilities,grand_total
2017-02-01,469.17345,88.95477000000001,3706.4023500000003,851.42303,82.44146,,,150.36808,258.34110999999996,,,12.3496,367.89564,16.76351,5.18843,9.95547,216.87505,17.81247,2.22166,33.58176,,6298.93497
2017-03-01,476.13834,90.28967999999999,3738.18855,931.15224,83.35883,,,146.73012,255.01847,,,12.46512,356.47339,30.37499,21.75501,10.02674,221.44358,17.439049999999998,3.62642,12.07921,,6415.506850000001
2017-04-01,480.69824,91.58421000000001,3617.0289900000002,1016.8307900000001,41.113980000000005,,,126.18407,311.08878999999996,,,12.57693,406.19983,44.50368,22.64579,9.00193,219.33873,17.41297,4.268260000000001,61.984410000000004,,6493.405170000002
2017-05-01,539.78724,93.46304,3800.30544,1121.67591,39.37083,,,106.20955,258.20079,,,11.65547,385.08232,42.47561,23.11416,10.9045,216.07,17.9316,3.38746,40.88897,,6729.670319999999
2017-06-02,583.53331,94.03131,3832.28924,1114.14864,38.0387,,,112.10194,253.13437,,,11.75803,436.06254,45.90332,23.48716,13.37868,231.07424,17.6548,4.82942,28.41328,-24.11983,6832.8802
2017-07-04,634.87907,96.5088,3800.43043,1214.33129,2.83001,,,114.09048,255.71313,,,11.86401,449.38742,48.75245,24.41941,12.73264,212.5379,24.6345,4.67287,22.4056,,6948.60951
2017-08-05,632.46764,96.90731,3792.69205,1318.62371,3.05891,,,159.17841,262.65935,,,11.02978,449.40652,52.02584,26.36576,13.02209,212.91517,23.62939,5.38076,22.59175,,7094.53566
2017-09-06,620.60187,98.81412,3874.98637,1270.40406,5.8506,,,155.70235,264.70759,,,11.73829,489.57927,55.41708,26.6878,12.78579,208.71322,24.05538,5.23506,27.33873,,7164.5981
2017-10-08,641.48501,100.85316,4005.69475,1252.35281,5.92697,,,158.12634,259.35727,,,11.29538,501.48961,46.97575,35.55726,12.74891,209.15887,23.98812,5.39133,15.46608,,7298.49661
2017-11-09,662.72064,102.88881,4021.54447,1206.42144,5.99959,55.69751,,148.21215,255.08292,,,11.33157,564.68469,44.59929,31.77265,15.60317,224.72008,23.99003,6.06988,15.34782,,7406.82447
2017-12-11,672.23265,104.60511,4044.36475,1178.08879,5.81992,56.55611,7.18611,152.20581,261.48988,5.379,,11.43452,626.30012,55.92653,35.39024,16.42568,203.35787,25.43754,6.86827,37.8682,,7515.3514
2018-01-12,749.82668,110.21313,3955.60726,1394.67841,5.89651,57.26715,7.85072,157.75806,267.30974,9.69225,,11.53744,615.05533,56.99616,35.35949,9.88537,205.74147,33.15461,6.84819,33.83426,,7736.03896
2018-02-13,733.99827,105.6483,3973.6285,1459.61704,5.98578,58.88669,7.93071,155.45305,304.41039,6.74956,,7.22431,565.89957,66.98161,5.5934,9.88137,210.84281,33.76037,8.04285,64.91872,,7794.39676
2018-03-17,734.51569,60.80594,3861.07988,1659.1595,5.796,55.56525,8.0164,161.42672,384.77702,6.06704,,7.36839,577.60014,74.13369,0,9.76927,219.24225,27.58608,7.98975,73.15386,,7943.50785
2018-04-18,740.99973,61.4249,3995.16272,1620.29186,6.12387,56.19936,8.07564,164.02001,346.54361,8.11409,,8.12953,650.03314,78.64299,0,9.69622,244.56989,34.85963,8.89866,46.12378,,8096.73343
2018-05-20,685.33132,61.63521,3961.39965,1678.51026,6.53913,51.9824,8.25849,154.02497,393.26682,8.35632,,8.20515,662.80203,71.75242,0,9.70132,228.86458,37.27049,8.94773,96.13259,,8143.14461
2018-06-21,709.51118,61.3678,4040.3078,1709.20138,8.35215,58.36061,7.74964,151.95354,401.58289,7.10791,,8.27831,628.75584,107.79792,0.22309,9.52127,244.12442,38.39326,11.36576,50.55614,-32.61159,8232.28792
2018-07-23,679.34713,63.41844,4081.84853,1646.90029,8.05845,58.64641,7.49124,156.78825,404.60498,7.53046,,8.35392,760.9538,107.98597,1.9324,8.48571,227.64028,38.45327,14.29801,29.03372,,8322.76645
2018-08-24,630.25268,63.95496,4218.83124,1485.32662,10.9123,53.14711,6.95434,154.4267,400.45357,7.33453,,6.67326,849.09093,116.75742,1.93741,9.104,226.63598,38.57021,16.06855,24.56231,,8333.17633
2018-09-25,602.06228,64.45582,4326.14503,1501.8923,10.79811,54.2693,7.71643,152.48467,420.05527,7.6736,,6.08108,764.3211,80.83338,3.24409,8.78801,225.04346,40.0677,17.12145,43.64435,,8345.71233
2018-10-27,602.04951,59.57463,4337.942,1655.99007,10.21413,48.00003,6.39589,154.00911,518.54692,7.68696,,6.13857,640.25609,78.50422,3.27769,5.97942,228.88058,32.83159,15.56345,30.83368,,8452.68834
2018-11-28,584.32106,60.52926,4439.56129,1685.0782,9.40722,23.91932,4.6586,143.84137,515.23867,7.27283,,6.20165,636.98762,68.79914,2.91414,5.5089,221.89545,40.41574,15.57294,17.51219,,8499.89196
2018-12-30,606.19732,55.86219,4534.36523,1673.42134,11.56685,86.54467,7.22666,138.71245,461.15776,7.51911,,6.91322,626.33423,82.80959,3.20989,15.53504,229.71174,31.34828,18.50966,32.31789,,8637.73619
2019-01-31,578.15531,60.59546,4484.88857,1783.51389,12.20945,87.25572,7.66394,141.46893,462.17126,7.81651,,6.96805,638.89024,95.51362,13.41147,15.37098,231.66485,31.58969,24.65687,50.07044,,8744.11273
2019-02-04,601.87095,61.88175,4494.83295,1907.15571,12.38706,95.73297,7.52925,139.6271,472.20146,9.91201,,5.32088,599.21883,102.36131,14.12101,14.65692,231.34692,31.94779,26.76665,74.20966,,8913.4842
2019-03-05,590.6127,62.59723,4458.80638,1936.25506,11.95655,94.10969,8.51224,144.31118,463.98759,8.64861,5.46423,5.37128,809.94099,64.45831,22.5429,14.27084,231.36595,32.33931,29.40033,25.16689,,9030.80344
2019-04-03,553.89032,64.70621,4475.40095,1958.72552,12.04045,95.17105,9.79467,144.78087,459.31314,8.91811,6.08956,5.42005,880.2022,67.13405,22.60553,14.04959,249.69129,32.85118,29.12941,32.6143,-11.76343,9121.23577
